first_name,second_name,team_name,position,total_points,goals_scored,assists,minutes,now_cost
Fábio,Ferreira Vieira,Arsenal,Midfielder,0,0,0,0,54
Gabriel,Fernando de Jesus,Arsenal,Forward,2,0,0,19,68
Gabriel,dos Santos Magalhães,Arsenal,Defender,37,2,0,540,62
Kai,Havertz,Arsenal,Forward,32,3,1,540,82
Karl,Hein,Arsenal,Goalkeeper,0,0,0,0,40
Jurriën,Timber,Arsenal,Defender,19,0,1,448,55
Jorge Luiz,Frello Filho,Arsenal,Midfielder,2,0,0,90,49
Jakub,Kiwior,Arsenal,Defender,1,0,0,16,48
Gabriel,Martinelli Silva,Arsenal,Midfielder,28,1,2,408,69
Ethan,Nwaneri,Arsenal,Midfielder,2,0,0,9,45
Martin,Ødegaard,Arsenal,Midfielder,7,0,0,253,82
David,Raya Martin,Arsenal,Goalkeeper,34,0,0,540,56
Declan,Rice,Arsenal,Midfielder,6,0,0,402,63
Bukayo,Saka,Arsenal,Midfielder,38,1,5,476,101
William,Saliba,Arsenal,Defender,20,0,0,540,60
Thomas,Partey,Arsenal,Midfielder,21,1,0,534,50
Kieran,Tierney,Arsenal,Defender,0,0,0,0,44
Tomiyasu,Takehiro,Arsenal,Defender,0,0,0,0,48
Leandro,Trossard,Arsenal,Midfielder,22,2,1,314,69
Benjamin,White,Arsenal,Defender,21,0,0,405,64
Oleksandr,Zinchenko,Arsenal,Defender,7,0,0,78,48
Norberto,Murara Neto,Arsenal,Goalkeeper,7,0,0,180,43
Raheem,Sterling,Arsenal,Midfielder,2,0,0,26,68
Riccardo,Calafiori,Arsenal,Defender,11,1,0,205,58
Myles,Lewis-Skelly,Arsenal,Midfielder,0,0,0,1,45
Mikel,Merino,Arsenal,Midfielder,0,0,0,0,60
Salah-Eddine,Oulad M'hand,Arsenal,Midfielder,0,0,0,0,45
Tommy,Setford,Arsenal,Goalkeeper,0,0,0,0,45
Maldini,Kacurri,Arsenal,Defender,0,0,0,0,40
Ayden,Heaven,Arsenal,Defender,0,0,0,0,40
Ismeal,Kabia,Arsenal,Midfielder,0,0,0,0,45
Josh,Nichols,Arsenal,Defender,0,0,0,0,40
Leon,Bailey,Aston Villa,Midfielder,10,0,1,286,64
Ross,Barkley,Aston Villa,Midfielder,7,0,1,121,52
Enzo,Barrenechea,Aston Villa,Midfielder,0,0,0,0,49
Emiliano,Buendía Stati,Aston Villa,Midfielder,3,0,0,13,53
Matty,Cash,Aston Villa,Defender,3,0,0,96,44
Leander,Dendoncker,Aston Villa,Midfielder,0,0,0,0,45
Moussa,Diaby,Aston Villa,Midfielder,0,0,0,0,65
Diego Carlos,Santos Silva,Aston Villa,Defender,3,0,0,180,45
Lucas,Digne,Aston Villa,Defender,16,0,2,434,46
Lewis,Dobbin,Aston Villa,Midfielder,0,0,0,0,50
Jhon,Durán,Aston Villa,Forward,26,4,0,157,62
Joe,Gauci,Aston Villa,Goalkeeper,0,0,0,0,40
Kortney,Hause,Aston Villa,Defender,0,0,0,0,40
Samuel,Iling-Junior,Aston Villa,Midfielder,0,0,0,0,54
Boubacar,Kamara,Aston Villa,Midfielder,0,0,0,0,50
Kaine,Kesler-Hayden,Aston Villa,Defender,0,0,0,0,40
Ezri,Konsa Ngoyo,Aston Villa,Defender,16,1,0,540,45
Ian,Maatsen,Aston Villa,Defender,6,0,0,113,48
Filip,Marschall,Aston Villa,Goalkeeper,0,0,0,0,40
Emiliano,Martínez Romero,Aston Villa,Goalkeeper,11,0,0,540,50
John,McGinn,Aston Villa,Midfielder,9,0,0,349,53
Tyrone,Mings,Aston Villa,Defender,0,0,0,0,44
Kosta,Nedeljković,Aston Villa,Defender,3,0,0,93,40
Robin,Olsen,Aston Villa,Goalkeeper,0,0,0,0,45
Pau,Torres,Aston Villa,Defender,8,0,0,540,45
Jacob,Ramsey,Aston Villa,Midfielder,13,0,1,335,55
Morgan,Rogers,Aston Villa,Midfielder,25,1,2,513,52
Viljami,Sinisalo,Aston Villa,Goalkeeper,0,0,0,0,40
Lino,da Cruz Sousa,Aston Villa,Defender,0,0,0,0,40
Youri,Tielemans,Aston Villa,Midfielder,19,0,2,533,55
Ollie,Watkins,Aston Villa,Forward,39,4,2,441,91
Amadou,Onana,Aston Villa,Midfielder,25,2,0,422,52
Jaden,Philogene,Aston Villa,Midfielder,2,0,0,43,53
Lamare,Bogarde,Aston Villa,Defender,2,0,0,168,40
Sil,Swinkels,Aston Villa,Defender,0,0,0,0,40
Oliwier,Zych,Aston Villa,Goalkeeper,0,0,0,0,40
Kadan,Young,Aston Villa,Midfielder,0,0,0,0,45
Max,Aarons,Bournemouth,Defender,0,0,0,0,44
Tyler,Adams,Bournemouth,Midfielder,0,0,0,0,49
Jaidon,Anthony,Bournemouth,Midfielder,0,0,0,0,45
David,Brooks,Bournemouth,Midfielder,0,0,0,0,49
Ryan,Christie,Bournemouth,Midfielder,10,0,0,380,49
Lewis,Cook,Bournemouth,Midfielder,22,1,2,533,50
Enes,Ünal,Bournemouth,Forward,3,0,0,35,54
Romain,Faivre,Bournemouth,Midfielder,0,0,0,0,50
Hamed,Traorè,Bournemouth,Midfielder,0,0,0,0,45
James,Hill,Bournemouth,Defender,0,0,0,0,40
Daniel,Jebbison,Bournemouth,Forward,2,0,0,26,45
Milos,Kerkez,Bournemouth,Defender,8,0,0,515,45
Justin,Kluivert,Bournemouth,Midfielder,11,0,1,335,54
Chris,Mepham,Bournemouth,Defender,0,0,0,0,44
Dango,Ouattara,Bournemouth,Midfielder,16,1,1,215,50
Alex,Paulsen,Bournemouth,Goalkeeper,0,0,0,0,40
Philip,Billing,Bournemouth,Midfielder,2,0,0,21,48
Alex,Scott,Bournemouth,Midfielder,7,0,0,169,49
