first_name,second_name,team_name,position,total_points,goals_scored,assists,minutes,now_cost,points_per_cost,rank
Dwight,McNeil,Everton,Midfielder,39,3,2,532,55,0.7090909090909091,1.0
Robert,Sánchez,Chelsea,Goalkeeper,32,0,0,540,47,0.6808510638297872,2.0
Luis,Díaz,Liverpool,Midfielder,53,5,1,429,80,0.6625,3.0
André,Onana,Man Utd,Goalkeeper,33,0,0,540,50,0.66,4.0
David,Raya Martin,Arsenal,Goalkeeper,34,0,0,540,56,0.6071428571428571,5.0
Gabriel,dos Santos Magalhães,Arsenal,Defender,37,2,0,540,62,0.5967741935483871,6.0
Ibrahima,Konaté,Liverpool,Defender,31,1,1,479,52,0.5961538461538461,7.0
Bryan,Mbeumo,Brentford,Midfielder,43,5,0,539,74,0.581081081081081,8.0
Cole,Palmer,Chelsea,Midfielder,61,6,4,505,107,0.5700934579439252,9.0
Danny,Welbeck,Brighton,Forward,33,3,1,506,58,0.5689655172413793,10.5
Emile,Smith Rowe,Fulham,Midfielder,33,2,1,444,58,0.5689655172413793,10.5
Diogo,Dalot Teixeira,Man Utd,Defender,29,0,1,540,51,0.5686274509803921,12.0
Noussair,Mazraoui,Man Utd,Defender,25,0,1,513,46,0.5434782608695652,13.0
Harvey,Barnes,Newcastle,Midfielder,35,3,1,323,65,0.5384615384615384,14.0
Micky,van de Ven,Spurs,Defender,24,0,2,440,45,0.5333333333333333,15.0
Cristian,Romero,Spurs,Defender,27,1,0,540,51,0.5294117647058824,16.0
Matz,Sels,Nott'm Forest,Goalkeeper,23,0,0,540,45,0.5111111111111111,17.0
Antonee,Robinson,Fulham,Defender,24,0,2,540,47,0.5106382978723404,18.0
Adama,Traoré,Fulham,Midfielder,26,1,2,466,51,0.5098039215686274,19.0
Antoine,Semenyo,Bournemouth,Midfielder,29,3,1,517,57,0.5087719298245614,20.0
Nicolas,Jackson,Chelsea,Forward,40,4,3,441,79,0.5063291139240507,21.0
Chris,Wood,Nott'm Forest,Forward,31,3,0,476,62,0.5,23.5
Nick,Pope,Newcastle,Goalkeeper,25,0,0,540,50,0.5,23.5
Noni,Madueke,Chelsea,Midfielder,33,3,1,387,66,0.5,23.5
Tomáš,Souček,West Ham,Midfielder,25,2,1,367,50,0.5,23.5
Raúl,Jiménez,Fulham,Forward,27,3,0,260,55,0.4909090909090909,26.0
Ola,Aina,Nott'm Forest,Defender,22,0,0,503,45,0.4888888888888889,27.0
Amadou,Onana,Aston Villa,Midfielder,25,2,0,422,52,0.4807692307692308,28.5
Morgan,Rogers,Aston Villa,Midfielder,25,1,2,513,52,0.4807692307692308,28.5
Matthijs,de Ligt,Man Utd,Defender,24,1,0,354,50,0.48,30.0
Virgil,van Dijk,Liverpool,Defender,28,0,0,540,60,0.4666666666666667,31.5
Yoane,Wissa,Brentford,Forward,28,3,1,290,60,0.4666666666666667,31.5
Trent,Alexander-Arnold,Liverpool,Defender,33,0,1,492,71,0.4647887323943662,33.0
Mohamed,Salah,Liverpool,Midfielder,59,4,4,532,128,0.4609375,34.0
Liam,Delap,Ipswich,Forward,25,3,0,455,55,0.45454545454545453,36.5
